item,RO-01,RO-02,RO-03,RO-04,RO-05,RO-06,RO-07,RO-08,RO-09,RO-10,total
Macro sites,306,465,617,719,769,770,766,718,669,471,6270
– rooftop,306,452,487,385,359,225,132,181,83,42,2652
– monopole / greenfield,0,13,130,301,378,538,323,400,528,429,3040
– lattice tower 45 m,0,0,0,33,32,7,311,137,58,0,578
Sectors,918,1395,1851,2124,2275,2303,2298,2142,1956,1413,18675
n78 64T64R AAU (3×100 MHz),918,1395,1851,2058,2211,2289,1365,1743,1833,1413,17076
n78 8T8R radio + antenna (rural),0,0,0,0,0,0,933,377,21,0,1331
Passive multiband antenna 2L4H + RET,918,1395,1851,2124,2275,2303,2298,2142,1956,1413,18675
n28 RRU,918,1395,1851,2124,2275,2303,2298,2142,1956,1413,18675
n1/n3 dual-band RRU,918,1395,1851,2124,2275,2303,2298,2142,1956,1413,18675
n258 street small cells,0,0,0,0,0,0,0,0,480,480,960
"DU (pooled, C-RAN hub)",230,349,453,515,513,448,320,99,0,0,2927
"DU (at site, D-RAN)",0,0,14,33,85,173,340,586,669,471,2371
Cell-site router 25GE (D-RAN sites),0,0,14,33,85,173,340,586,669,471,2371
Fronthaul gateway / passive WDM (C-RAN sites),306,465,603,686,684,597,426,132,0,0,3899
Hubs (DU hotel / pre-agg) commissioned,6,10,15,16,19,19,13,18,17,17,150
Hub aggregation routers 100GE,12,20,30,32,38,38,26,36,34,34,300
Microwave hops,0,0,0,0,0,0,246,107,7,0,360
Access-ring fiber (route km),228,381,537,611,697,810,463,667,764,579,5737
Aggregation-ring fiber (route km),32,64,108,108,109,106,53,107,121,80,888
Backbone / metro-core fiber lit (route km),87,194,340,337,278,174,185,471,0,0,2066
Backbone add/drop spurs (km),0,0,0,30,30,6,60,28,47,0,201
Indoor venues,0,18,5,14,1,9,0,2,0,2,51
Indoor n78 pRRU,0,1740,573,1545,88,650,0,319,0,424,5339
Indoor n258 heads,0,58,38,47,4,28,0,4,0,17,196
