rollout,on_air_window,site_id,class,site_type,cluster,zone,governorate,lat,lon,antenna_height_agl_m,sectors,hub,ring,backhaul,is_hub
RO-01,Apr 2027 – Jun 2027,AMM-DU-0139,DU,Rooftop,Amman-Zarqa Metro,Amman core,Amman,31.95482,35.86013,28,3,HUB-AMM-13,HUB-AMM-13-R01,Fiber ring,0
RO-01,Apr 2027 – Jun 2027,AMM-DU-0167,DU,Rooftop,Amman-Zarqa Metro,Amman core,Amman,31.95775,35.85816,29,3,HUB-AMM-13,HUB-AMM-13-R01,Fiber ring,0
RO-01,Apr 2027 – Jun 2027,AMM-DU-0168,DU,Rooftop,Amman-Zarqa Metro,Amman core,Amman,31.95775,35.86131,29,3,HUB-AMM-13,HUB-AMM-13-R01,Fiber ring,0
RO-01,Apr 2027 – Jun 2027,AMM-DU-0195,DU,Rooftop,Amman-Zarqa Metro,Amman core,Amman,31.96069,35.85540,26,3,HUB-AMM-13,HUB-AMM-13-R01,Fiber ring,0
RO-01,Apr 2027 – Jun 2027,AMM-DU-0196,DU,Rooftop,Amman-Zarqa Metro,Amman core,Amman,31.96069,35.85934,28,3,HUB-AMM-13,HUB-AMM-13-R01,Fiber ring,0
RO-01,Apr 2027 – Jun 2027,AMM-DU-0197,DU,Rooftop,Amman-Zarqa Metro,Amman core,Amman,31.96069,35.86328,27,3,HUB-AMM-13,HUB-AMM-13-R01,Fiber ring,0
RO-01,Apr 2027 – Jun 2027,AMM-DU-0198,DU,Rooftop,Amman-Zarqa Metro,Amman core,Amman,31.96069,35.86800,25,3,HUB-AMM-13,HUB-AMM-13-R01,Fiber ring,0
RO-01,Apr 2027 – Jun 2027,AMM-DU-0199,DU,Rooftop,Amman-Zarqa Metro,Amman core,Amman,31.96137,35.87115,37,3,HUB-AMM-13,HUB-AMM-13-R01,Fiber ring,1
RO-01,Apr 2027 – Jun 2027,AMM-DU-0110,DU,Rooftop,Amman-Zarqa Metro,Amman core,Amman,31.95188,35.86131,26,3,HUB-AMM-13,HUB-AMM-13-R02,Fiber ring,0
RO-01,Apr 2027 – Jun 2027,AMM-DU-0111,DU,Rooftop,Amman-Zarqa Metro,Amman core,Amman,31.95256,35.86525,27,3,HUB-AMM-13,HUB-AMM-13-R02,Fiber ring,0
RO-01,Apr 2027 – Jun 2027,AMM-DU-0112,DU,Rooftop,Amman-Zarqa Metro,Amman core,Amman,31.95188,35.86918,25,3,HUB-AMM-13,HUB-AMM-13-R02,Fiber ring,0
RO-01,Apr 2027 – Jun 2027,AMM-DU-0140,DU,Rooftop,Amman-Zarqa Metro,Amman core,Amman,31.95482,35.86406,29,3,HUB-AMM-13,HUB-AMM-13-R02,Fiber ring,0
RO-01,Apr 2027 – Jun 2027,AMM-DU-0141,DU,Rooftop,Amman-Zarqa Metro,Amman core,Amman,31.95550,35.86722,29,3,HUB-AMM-13,HUB-AMM-13-R02,Fiber ring,0
RO-01,Apr 2027 – Jun 2027,AMM-DU-0169,DU,Rooftop,Amman-Zarqa Metro,Amman core,Amman,31.95708,35.86525,29,3,HUB-AMM-13,HUB-AMM-13-R02,Fiber ring,0
