site,far_end_fiber_site,hop_km,radio_configuration,capacity,dish_m,antenna_gain_dBi,free_space_loss_dB,RSL_dBm,fade_margin_dB,rain_attenuation_0.01pct_dB,availability_99.99,terrain_line_of_sight,clearance_m_vs_0.6F1
RUR-R-0002,RUR-R-0001,4.3,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.1,-27.2,34.8,7.3,OK,LOS,31
RUR-R-0003,RUR-R-0005,7.7,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.3,-25.3,34.7,11.8,OK,LOS,10
RUR-R-0004,RUR-R-0008,4.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.6,-26.6,35.4,6.9,OK,LOS,26
RUR-R-0006,RUR-R-0005,4.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.7,-27.7,34.3,7.7,OK,LOS,39
RUR-R-0007,RUR-R-0008,4.3,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.1,-27.2,34.8,7.3,OK,LOS,41
RUR-R-0010,RUR-R-0011,4.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.6,-26.6,35.4,6.9,OK,BLOCKED by 4 m: raise antennas or relay,-4
RUR-R-0013,RUR-R-0008,4.4,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.5,-27.5,34.5,7.5,OK,LOS,24
RUR-R-0015,RUR-R-0011,4.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.0,-27.0,35.0,7.2,OK,LOS,32
RUR-R-0016,RUR-R-0012,4.6,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.8,-27.9,34.1,7.8,OK,LOS,40
RUR-R-0017,RUR-R-0012,8.0,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.6,-25.6,34.4,12.1,OK,LOS,0
RUR-R-0018,RUR-R-0014,4.3,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.2,-27.2,34.8,7.3,OK,LOS,9
RUR-R-0019,RUR-R-0012,7.5,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.1,-25.1,34.9,11.6,OK,LOS,48
RUR-R-0020,RUR-R-0012,9.4,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,137.0,-27.0,33.0,13.6,OK,LOS,43
RUR-R-0021,HWY-HW-0012,12.6,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,139.5,-29.6,30.4,16.7,OK,LOS,48
RUR-R-0022,TAF-SU-0065,3.8,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.2,-26.2,35.8,6.6,OK,LOS,20
RUR-R-0023,TAF-SU-0065,7.6,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.2,-25.2,34.8,11.6,OK,LOS,3
RUR-R-0024,RUR-R-0035,11.1,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,138.5,-28.5,31.5,15.4,OK,BLOCKED by 68 m: raise antennas or relay,-68
RUR-R-0025,RUR-R-0012,13.6,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,140.2,-30.3,29.7,17.6,OK,BLOCKED by 102 m: raise antennas or relay,-102
RUR-R-0026,HWY-HW-0011,12.7,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,139.6,-29.7,30.3,16.9,OK,LOS,4
RUR-R-0027,RUR-R-0028,3.4,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,128.3,-25.3,36.7,6.0,OK,BLOCKED by 146 m: raise antennas or relay,-146
RUR-R-0029,RUR-R-0035,4.1,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.8,-26.8,35.2,7.0,OK,LOS,44
RUR-R-0030,RUR-R-0035,7.3,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,134.8,-24.8,35.2,11.3,OK,LOS,76
RUR-R-0031,RUR-R-0035,11.3,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,138.6,-28.6,31.4,15.5,OK,LOS,23
RUR-R-0032,HWY-HW-0011,15.1,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,141.1,-31.2,28.8,18.8,OK,LOS,2
RUR-R-0033,HWY-HW-0010,10.9,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,138.3,-28.3,31.7,15.2,OK,LOS,10
RUR-R-0034,RUR-R-0028,4.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.6,-27.6,34.4,7.6,OK,BLOCKED by 34 m: raise antennas or relay,-34
RUR-R-0036,RUR-R-0035,3.7,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,128.9,-26.0,36.0,6.4,OK,BLOCKED by 8 m: raise antennas or relay,-8
RUR-R-0037,RUR-R-0035,8.2,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.8,-25.9,34.1,12.3,OK,LOS,34
RUR-R-0038,RUR-R-0035,13.5,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,140.2,-30.2,29.8,17.6,OK,LOS,83
RUR-R-0039,HWY-HW-0010,13.6,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,140.2,-30.2,29.8,17.6,OK,BLOCKED by 2 m: raise antennas or relay,-2
