hub_id,cluster,type,sites,access_rings,pooled_DUs,racks_incl_transport_power,IT_load_kW,facility_load_kW,grid_kVA,busy_hour_Gbps,peak_Gbps
HUB-AJL-01,Ajloun,Pre-aggregation,25,4,0,2,4.2,5.9,10,8.4,17.8
HUB-AJL-02,Ajloun,C-RAN,29,4,22,4,15.2,21.3,30,9.9,20.1
HUB-AJL-03,Ajloun,Pre-aggregation,27,4,0,2,4.2,5.9,10,9.1,18.8
HUB-AMM-01,Amman-Zarqa Metro,C-RAN,42,6,32,5,20.2,28.3,40,17.9,32.0
HUB-AMM-02,Amman-Zarqa Metro,C-RAN,39,6,30,5,19.2,26.9,40,16.6,30.1
HUB-AMM-03,Amman-Zarqa Metro,C-RAN,53,8,40,6,24.2,33.9,50,21.9,38.0
HUB-AMM-04,Amman-Zarqa Metro,C-RAN,36,5,27,5,17.7,24.8,40,15.3,28.2
HUB-AMM-05,Amman-Zarqa Metro,C-RAN,40,6,30,5,19.2,26.9,40,17.0,30.8
HUB-AMM-06,Amman-Zarqa Metro,Pre-aggregation,33,5,0,2,4.2,5.9,10,10.2,20.5
HUB-AMM-07,Amman-Zarqa Metro,C-RAN,48,7,36,5,22.2,31.1,40,20.4,35.9
HUB-AMM-08,Amman-Zarqa Metro,Pre-aggregation,24,4,0,2,4.2,5.9,10,6.0,14.3
HUB-AMM-09,Amman-Zarqa Metro,Pre-aggregation,19,3,0,2,4.2,5.9,10,5.1,12.9
HUB-AMM-10,Amman-Zarqa Metro,Pre-aggregation,28,4,0,2,4.2,5.9,10,7.1,15.8
HUB-AMM-11,Amman-Zarqa Metro,C-RAN,37,6,28,5,18.2,25.5,40,15.8,28.8
HUB-AMM-12,Amman-Zarqa Metro,Pre-aggregation,21,3,0,2,4.2,5.9,10,5.3,13.1
HUB-AMM-13,Amman-Zarqa Metro,C-RAN,47,7,36,5,22.2,31.1,40,34.0,56.2
HUB-AMM-14,Amman-Zarqa Metro,C-RAN,51,8,39,6,23.7,33.2,50,36.9,60.5
HUB-AMM-15,Amman-Zarqa Metro,C-RAN,41,6,31,5,19.7,27.6,40,16.8,30.4
HUB-AMM-16,Amman-Zarqa Metro,Pre-aggregation,49,7,0,2,4.2,5.9,10,12.3,23.7
HUB-AMM-17,Amman-Zarqa Metro,Pre-aggregation,22,3,0,2,4.2,5.9,10,5.9,14.0
HUB-AMM-18,Amman-Zarqa Metro,Pre-aggregation,19,3,0,2,4.2,5.9,10,5.1,12.9
HUB-AMM-19,Amman-Zarqa Metro,C-RAN,41,6,31,5,19.7,27.6,40,15.7,28.8
HUB-AMM-20,Amman-Zarqa Metro,Pre-aggregation,33,5,0,2,4.2,5.9,10,8.7,18.2
HUB-AMM-21,Amman-Zarqa Metro,Pre-aggregation,35,5,0,2,4.2,5.9,10,9.7,19.7
HUB-AMM-22,Amman-Zarqa Metro,C-RAN,37,6,28,5,18.2,25.5,40,13.5,25.4
HUB-AMM-23,Amman-Zarqa Metro,C-RAN,43,6,33,5,20.7,29.0,40,25.1,42.9
HUB-AMM-24,Amman-Zarqa Metro,C-RAN,42,6,32,5,20.2,28.3,40,17.9,32.0
HUB-AMM-25,Amman-Zarqa Metro,Pre-aggregation,39,6,0,2,4.2,5.9,10,9.8,19.9
HUB-AMM-26,Amman-Zarqa Metro,Pre-aggregation,22,3,0,2,4.2,5.9,10,5.5,13.5
HUB-AMM-27,Amman-Zarqa Metro,C-RAN,36,5,27,5,17.7,24.8,40,15.3,28.2
HUB-AMM-28,Amman-Zarqa Metro,C-RAN,61,9,46,6,27.2,38.1,50,43.5,70.5
HUB-AMM-29,Amman-Zarqa Metro,C-RAN,42,6,32,5,20.2,28.3,40,16.0,29.2
HUB-AMM-30,Amman-Zarqa Metro,Pre-aggregation,47,7,0,2,4.2,5.9,10,11.8,23.0
HUB-AMM-31,Amman-Zarqa Metro,Pre-aggregation,35,5,0,2,4.2,5.9,10,8.8,18.4
HUB-AMM-32,Amman-Zarqa Metro,Pre-aggregation,42,6,0,2,4.2,5.9,10,10.6,21.1
HUB-AMM-33,Amman-Zarqa Metro,C-RAN,52,8,39,6,23.7,33.2,50,19.5,34.5
