site_id,class,site_type,architecture,sectors,n78_64T64R_AAU,n78_8T8R_radio,n28_RRU,n1n3_or_n3_RRU,passive_antenna_2L4H,DU_at_site,CSR,fronthaul_gateway,NR_cells,avg_load_W,peak_load_W,rectifier_kW,battery_kWh,battery_modules_4.8kWh,grid_kVA,solar_PV_kWp
AMM-DU-0001,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0002,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0003,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0004,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0005,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0006,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0007,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0008,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0009,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0010,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0011,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0012,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0013,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0014,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0015,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0016,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0017,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0018,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0019,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0020,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0021,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0022,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0023,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0024,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0025,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0026,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0027,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0028,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0029,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0030,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0031,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0032,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0033,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0034,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0035,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0036,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0037,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0038,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0039,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0040,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0041,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0042,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0043,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0044,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0045,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0046,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0047,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
