ring_id,pop,hubs,route_km,mean_span_km,optic
AGG-POP-AJL-01,POP-AJL,3,10.5,2.6,100G-LR4 (10 km)
AGG-POP-ZRQ-01,POP-ZRQ,5,34.5,5.8,100G-LR4 (10 km)
AGG-POP-ZRQ-02,POP-ZRQ,5,20.0,3.3,100G-LR4 (10 km)
AGG-POP-ZRQ-03,POP-ZRQ,5,25.7,4.3,100G-LR4 (10 km)
AGG-POP-ZRQ-04,POP-ZRQ,4,21.9,4.4,100G-LR4 (10 km)
AGG-DC1-01,DC1,4,29.8,6.0,100G-LR4 (10 km)
AGG-DC1-02,DC1,4,23.5,4.7,100G-LR4 (10 km)
AGG-DC1-03,DC1,4,20.4,4.1,100G-LR4 (10 km)
AGG-DC1-04,DC1,4,26.8,5.4,100G-LR4 (10 km)
AGG-DC2-01,DC2,5,37.7,6.3,100G-LR4 (10 km)
AGG-DC2-02,DC2,5,28.5,4.8,100G-LR4 (10 km)
AGG-DC2-03,DC2,3,15.1,3.8,100G-LR4 (10 km)
AGG-POP-AMM-N-01,POP-AMM-N,5,27.9,4.6,100G-LR4 (10 km)
AGG-POP-AMM-N-02,POP-AMM-N,5,34.0,5.7,100G-LR4 (10 km)
AGG-POP-AMM-N-03,POP-AMM-N,5,27.7,4.6,100G-LR4 (10 km)
AGG-POP-AMM-C-01,POP-AMM-C,4,25.3,5.1,100G-LR4 (10 km)
AGG-POP-AMM-C-02,POP-AMM-C,4,13.3,2.7,100G-LR4 (10 km)
AGG-POP-AMM-S-01,POP-AMM-S,5,35.4,5.9,100G-LR4 (10 km)
AGG-POP-AMM-S-02,POP-AMM-S,5,74.7,12.5,100G-ER4 (40 km)
AGG-POP-AMM-S-03,POP-AMM-S,5,36.9,6.1,100G-LR4 (10 km)
AGG-POP-AQB-01,POP-AQB,4,55.0,11.0,100G-ER4 (40 km)
AGG-POP-AQB-02,POP-AQB,3,24.7,6.2,100G-LR4 (10 km)
AGG-POP-AZR-01,POP-AZR,1,1.6,0.8,100G-LR4 (10 km)
AGG-POP-DEA-01,POP-DEA,1,2.9,1.4,100G-LR4 (10 km)
AGG-POP-DEI-01,POP-DEI,1,0.8,0.4,100G-LR4 (10 km)
AGG-POP-GHO-01,POP-GHO,1,2.4,1.2,100G-LR4 (10 km)
AGG-POP-IRB-01,POP-IRB,5,26.3,4.4,100G-LR4 (10 km)
AGG-POP-IRB-02,POP-IRB,5,32.4,5.4,100G-LR4 (10 km)
AGG-POP-IRB-03,POP-IRB,5,39.9,6.6,100G-LR4 (10 km)
AGG-POP-IRB-04,POP-IRB,5,22.7,3.8,100G-LR4 (10 km)
AGG-POP-JER-01,POP-JER,3,10.7,2.7,100G-LR4 (10 km)
AGG-POP-KAR-01,POP-KAR,3,11.4,2.9,100G-LR4 (10 km)
AGG-POP-MA-01,POP-MA,4,15.9,3.2,100G-LR4 (10 km)
AGG-POP-MAD-01,POP-MAD,4,18.3,3.7,100G-LR4 (10 km)
AGG-POP-MAF-01,POP-MAF,5,24.2,4.0,100G-LR4 (10 km)
AGG-POP-MUT-01,POP-MUT,1,0.8,0.4,100G-LR4 (10 km)
AGG-POP-NOR-01,POP-NOR,1,0.2,0.1,100G-LR4 (10 km)
AGG-POP-SAL-01,POP-SAL,4,15.1,3.0,100G-LR4 (10 km)
AGG-POP-SOU-01,POP-SOU,1,0.9,0.5,100G-LR4 (10 km)
AGG-POP-TAF-01,POP-TAF,2,6.3,2.1,100G-LR4 (10 km)
AGG-POP-WAD-01,POP-WAD,2,5.3,1.8,100G-LR4 (10 km)
