hub_id,parent_pop,sites,access_rings,pooled_DUs,25GE_ports_per_router,100GE_uplinks_per_router,router_class_x2,busy_hour_Gbps,peak_Gbps,uplink_utilisation_at_peak
HUB-AJL-01,POP-AJL,25,4,0,6,2,HUB-R1 (24×25GE + 4×100GE),8.4,17.8,9 %
HUB-AJL-02,POP-AJL,29,4,22,17,2,HUB-R1 (24×25GE + 4×100GE),9.9,20.1,10 %
HUB-AJL-03,POP-AJL,27,4,0,6,2,HUB-R1 (24×25GE + 4×100GE),9.1,18.8,9 %
HUB-AMM-01,POP-ZRQ,42,6,32,24,2,HUB-R1 (24×25GE + 4×100GE),17.9,32.0,16 %
HUB-AMM-02,DC1,39,6,30,23,2,HUB-R1 (24×25GE + 4×100GE),16.6,30.1,15 %
HUB-AMM-03,DC2,53,8,40,30,2,HUB-R2 (48×25GE + 8×100GE),21.9,38.0,19 %
HUB-AMM-04,DC1,36,5,27,21,2,HUB-R1 (24×25GE + 4×100GE),15.3,28.2,14 %
HUB-AMM-05,POP-AMM-N,40,6,30,23,2,HUB-R1 (24×25GE + 4×100GE),17.0,30.8,15 %
HUB-AMM-06,DC2,33,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),10.2,20.5,10 %
HUB-AMM-07,POP-ZRQ,48,7,36,27,2,HUB-R2 (48×25GE + 8×100GE),20.4,35.9,18 %
HUB-AMM-08,POP-ZRQ,24,4,0,6,2,HUB-R1 (24×25GE + 4×100GE),6.0,14.3,7 %
HUB-AMM-09,POP-ZRQ,19,3,0,5,2,HUB-R1 (24×25GE + 4×100GE),5.1,12.9,6 %
HUB-AMM-10,DC2,28,4,0,6,2,HUB-R1 (24×25GE + 4×100GE),7.1,15.8,8 %
HUB-AMM-11,POP-AMM-N,37,6,28,22,2,HUB-R1 (24×25GE + 4×100GE),15.8,28.8,14 %
HUB-AMM-12,POP-ZRQ,21,3,0,5,2,HUB-R1 (24×25GE + 4×100GE),5.3,13.1,7 %
