pop,aggregation_rings,100GE_ports_per_router,400GE_uplinks_per_router,router_class_x2,busy_hour_Gbps,peak_Gbps
POP-IRB,4,4,2,POP-R1 (16×100GE + 4×400GE),298.1,387.5
POP-AMM-C,2,2,2,POP-R1 (16×100GE + 4×400GE),250.9,326.2
DC1,4,4,2,POP-R1 (16×100GE + 4×400GE),245.4,319.0
POP-ZRQ,4,4,2,POP-R1 (16×100GE + 4×400GE),235.7,306.4
DC2,3,3,2,POP-R1 (16×100GE + 4×400GE),227.8,296.1
POP-AMM-S,3,3,2,POP-R1 (16×100GE + 4×400GE),213.5,277.5
POP-AMM-N,3,3,2,POP-R1 (16×100GE + 4×400GE),194.7,253.1
POP-AQB,2,2,2,POP-R1 (16×100GE + 4×400GE),89.2,115.9
POP-MAF,1,1,2,POP-R1 (16×100GE + 4×400GE),65.5,85.1
POP-MAD,1,1,2,POP-R1 (16×100GE + 4×400GE),57.6,74.8
POP-MA,1,1,2,POP-R1 (16×100GE + 4×400GE),49.5,64.3
POP-SAL,1,1,2,POP-R1 (16×100GE + 4×400GE),48.8,63.4
POP-JER,1,1,2,POP-R1 (16×100GE + 4×400GE),41.1,53.5
POP-KAR,1,1,2,POP-R1 (16×100GE + 4×400GE),37.6,48.9
POP-AJL,1,1,2,POP-R1 (16×100GE + 4×400GE),27.4,35.6
POP-TAF,1,1,2,POP-R1 (16×100GE + 4×400GE),25.6,33.3
POP-WAD,1,1,2,POP-R1 (16×100GE + 4×400GE),23.0,29.9
POP-MUT,1,1,2,POP-R1 (16×100GE + 4×400GE),9.1,11.8
POP-AZR,1,1,2,POP-R1 (16×100GE + 4×400GE),8.1,10.5
POP-DEI,1,1,2,POP-R1 (16×100GE + 4×400GE),6.0,7.9
POP-GHO,1,1,2,POP-R1 (16×100GE + 4×400GE),5.8,7.5
POP-SOU,1,1,2,POP-R1 (16×100GE + 4×400GE),5.8,7.5
POP-NOR,1,1,2,POP-R1 (16×100GE + 4×400GE),5.0,6.6
POP-DEA,1,1,2,POP-R1 (16×100GE + 4×400GE),4.8,6.2
