ring_id,tier,parent,nodes,route_km
HUB-AJL-01-R01,access 10/25GE,HUB-AJL-01,6,4.54
HUB-AJL-01-R02,access 10/25GE,HUB-AJL-01,6,6.71
HUB-AJL-01-R03,access 10/25GE,HUB-AJL-01,6,8.07
HUB-AJL-01-R04,access 10/25GE,HUB-AJL-01,6,6.02
HUB-AJL-02-R01,access 25GE (eCPRI fronthaul + backhaul),HUB-AJL-02,7,9.56
HUB-AJL-02-R02,access 25GE (eCPRI fronthaul + backhaul),HUB-AJL-02,7,8.28
HUB-AJL-02-R03,access 25GE (eCPRI fronthaul + backhaul),HUB-AJL-02,7,5.3
HUB-AJL-02-R04,access 25GE (eCPRI fronthaul + backhaul),HUB-AJL-02,7,6.11
HUB-AJL-03-R01,access 10/25GE,HUB-AJL-03,7,7.32
HUB-AJL-03-R02,access 10/25GE,HUB-AJL-03,7,6.4
HUB-AJL-03-R03,access 10/25GE,HUB-AJL-03,7,7.2
HUB-AJL-03-R04,access 10/25GE,HUB-AJL-03,5,6.61
HUB-AMM-01-R01,access 25GE (eCPRI fronthaul + backhaul),HUB-AMM-01,7,5.45
HUB-AMM-01-R02,access 25GE (eCPRI fronthaul + backhaul),HUB-AMM-01,7,6.38
HUB-AMM-01-R03,access 25GE (eCPRI fronthaul + backhaul),HUB-AMM-01,7,6.07
HUB-AMM-01-R04,access 25GE (eCPRI fronthaul + backhaul),HUB-AMM-01,7,5.91
HUB-AMM-01-R05,access 25GE (eCPRI fronthaul + backhaul),HUB-AMM-01,7,6.33
HUB-AMM-01-R06,access 25GE (eCPRI fronthaul + backhaul),HUB-AMM-01,6,6.43
HUB-AMM-02-R01,access 25GE (eCPRI fronthaul + backhaul),HUB-AMM-02,7,6.41
HUB-AMM-02-R02,access 25GE (eCPRI fronthaul + backhaul),HUB-AMM-02,7,6.22
HUB-AMM-02-R03,access 25GE (eCPRI fronthaul + backhaul),HUB-AMM-02,7,6.24
HUB-AMM-02-R04,access 25GE (eCPRI fronthaul + backhaul),HUB-AMM-02,7,5.07
HUB-AMM-02-R05,access 25GE (eCPRI fronthaul + backhaul),HUB-AMM-02,7,5.7
HUB-AMM-02-R06,access 25GE (eCPRI fronthaul + backhaul),HUB-AMM-02,3,3.05
HUB-AMM-03-R01,access 25GE (eCPRI fronthaul + backhaul),HUB-AMM-03,7,5.88
HUB-AMM-03-R02,access 25GE (eCPRI fronthaul + backhaul),HUB-AMM-03,7,6.11
HUB-AMM-03-R03,access 25GE (eCPRI fronthaul + backhaul),HUB-AMM-03,7,6.35
