hub_id,host_site,type,cluster,pop,sites_served,lat,lon
HUB-AJL-01,AJL-U-0040,Pre-aggregation (D-RAN sites),Ajloun,POP-AJL,25,32.34626,35.75812
HUB-AJL-02,AJL-U-0003,C-RAN DU hotel + pre-aggregation,Ajloun,POP-AJL,29,32.32036,35.75623
HUB-AJL-03,AJL-U-0015,Pre-aggregation (D-RAN sites),Ajloun,POP-AJL,27,32.33216,35.73922
HUB-AMM-01,AMM-U-1959,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-ZRQ,42,32.07054,36.07004
HUB-AMM-02,AMM-U-1015,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,DC1,39,31.97619,35.83138
HUB-AMM-03,AMM-U-0931,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,DC2,53,31.96047,36.01096
HUB-AMM-04,AMM-U-1264,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,DC1,36,32.00086,35.83374
HUB-AMM-05,AMM-U-1555,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-AMM-N,40,32.02119,35.90368
HUB-AMM-06,AMM-SU-2952,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,DC2,33,32.01845,35.96449
HUB-AMM-07,AMM-U-1533,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-ZRQ,48,32.01686,36.06295
HUB-AMM-08,AMM-SU-3410,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,POP-ZRQ,24,32.11753,36.05665
HUB-AMM-09,AMM-SU-3406,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,POP-ZRQ,19,32.11126,36.12286
HUB-AMM-10,AMM-SU-2726,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,DC2,28,31.93308,36.05119
HUB-AMM-11,AMM-U-1369,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-AMM-N,37,32.00710,35.88194
HUB-AMM-12,AMM-SU-2916,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,POP-ZRQ,21,32.00945,36.08873
HUB-AMM-13,AMM-DU-0199,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,DC1,47,31.96137,35.87115
HUB-AMM-14,AMM-DU-0261,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-AMM-C,51,31.96724,35.89478
HUB-AMM-15,AMM-U-1691,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-ZRQ,41,32.03258,36.03459
HUB-AMM-16,AMM-SU-2320,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,POP-AMM-S,49,31.85281,36.00204
HUB-AMM-17,AMM-SU-2991,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,POP-ZRQ,22,32.02531,36.11877
HUB-AMM-18,AMM-SU-3333,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,POP-ZRQ,19,32.08072,36.14061
HUB-AMM-19,AMM-U-0935,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,DC1,41,31.96521,35.81058
HUB-AMM-20,AMM-SU-2519,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,POP-AMM-S,33,31.88609,35.87575
HUB-AMM-21,AMM-SU-3011,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,DC2,35,32.02863,35.99862
HUB-AMM-22,AMM-U-0744,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,DC1,37,31.93742,35.81956
HUB-AMM-23,AMM-DU-0399,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-AMM-C,43,31.98487,35.89478
HUB-AMM-24,AMM-U-1870,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-ZRQ,42,32.05291,36.10076
HUB-AMM-25,AMM-SU-2643,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,DC1,39,31.91331,35.79793
HUB-AMM-26,AMM-SU-3134,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,POP-ZRQ,22,32.05017,36.01774
HUB-AMM-27,AMM-U-1269,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,DC1,36,31.99964,35.85690
HUB-AMM-28,AMM-DU-0275,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,DC2,61,31.96623,35.94953
HUB-AMM-29,AMM-U-0613,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,DC1,42,31.92292,35.84366
HUB-AMM-30,AMM-SU-2308,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,POP-AMM-S,47,31.85163,35.92012
HUB-AMM-31,AMM-SU-2328,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,POP-AMM-S,35,31.85731,35.87507
HUB-AMM-32,AMM-SU-3167,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,POP-AMM-N,42,32.05526,35.96244
HUB-AMM-33,AMM-U-0551,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-AMM-S,52,31.91194,35.97694
HUB-AMM-34,AMM-SU-2803,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,DC1,36,31.96990,35.77335
HUB-AMM-35,AMM-U-0567,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-AMM-S,43,31.91546,35.92353
HUB-AMM-36,AMM-U-1791,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-AMM-N,29,32.04153,35.85737
HUB-AMM-37,AMM-SU-2480,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,POP-AMM-S,48,31.88335,35.83820
HUB-AMM-38,AMM-DU-0020,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-AMM-C,44,31.93686,35.92983
HUB-AMM-39,AMM-U-1168,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,DC2,41,31.98947,36.00529
HUB-AMM-40,AMM-U-0474,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-AMM-S,54,31.90055,35.94716
HUB-AMM-41,AMM-DU-0028,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-AMM-C,50,31.94081,35.90069
HUB-AMM-42,AMM-U-2098,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-ZRQ,33,32.09168,36.11352
HUB-AMM-43,AMM-SU-2890,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,DC1,36,32.00553,35.76994
HUB-AMM-44,AMM-U-1329,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-AMM-N,44,32.00276,35.92117
HUB-AMM-45,AMM-U-0755,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-AMM-C,46,31.93661,35.87060
HUB-AMM-46,AMM-SU-2525,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-AMM-S,48,31.88844,35.91671
HUB-AMM-47,AMM-U-1023,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,DC2,48,31.97538,35.97788
HUB-AMM-48,AMM-SU-3252,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,POP-AMM-N,35,32.07054,35.80612
HUB-AMM-49,AMM-U-1677,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-AMM-N,38,32.03177,35.88242
HUB-AMM-50,AMM-SU-2820,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,DC2,34,31.97381,36.04163
HUB-AMM-51,AMM-U-0527,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-AMM-S,36,31.91275,35.86446
HUB-AMM-52,AMM-U-0762,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,POP-AMM-C,54,31.93661,35.95756
HUB-AMM-53,AMM-SU-3265,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,POP-AMM-N,37,32.07054,35.92490
HUB-AMM-54,AMM-U-1252,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,DC2,38,31.99652,35.98166
HUB-AMM-55,AMM-SU-2247,Pre-aggregation (D-RAN sites),Amman-Zarqa Metro,POP-AMM-S,40,31.83636,35.95630
HUB-AMM-56,AMM-U-1246,C-RAN DU hotel + pre-aggregation,Amman-Zarqa Metro,DC2,49,31.99571,35.95425
