site_id,class,zone,cluster,governorate,lat,lon,ground_elev_m,site_type,local_bldg_height_mean_m,local_bldg_height_max_m,built_fraction,antenna_height_agl_m,sectors,configuration,backhaul,hub,ring,is_hub
AMM-DU-0001,DU,Amman core,Amman-Zarqa Metro,Amman,31.93132,35.93810,901,Rooftop,9.1,10.7,1.0,25,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-38,HUB-AMM-38-R02,0
AMM-DU-0002,DU,Amman core,Amman-Zarqa Metro,Amman,31.93166,35.94244,893,Rooftop,11.8,14.3,1.0,25,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-52,HUB-AMM-52-R01,0
AMM-DU-0003,DU,Amman core,Amman-Zarqa Metro,Amman,31.93132,35.94519,887,Rooftop,13.2,14.9,1.0,25,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-52,HUB-AMM-52-R01,0
AMM-DU-0004,DU,Amman core,Amman-Zarqa Metro,Amman,31.93358,35.91644,887,Rooftop,12.0,13.4,1.0,25,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-38,HUB-AMM-38-R01,0
AMM-DU-0005,DU,Amman core,Amman-Zarqa Metro,Amman,31.93392,35.91999,873,Rooftop,15.0,21.4,1.0,30,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-38,HUB-AMM-38-R01,0
AMM-DU-0006,DU,Amman core,Amman-Zarqa Metro,Amman,31.93426,35.92511,860,Rooftop,15.9,21.4,1.0,30,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-38,HUB-AMM-38-R01,0
AMM-DU-0007,DU,Amman core,Amman-Zarqa Metro,Amman,31.93392,35.92865,893,Rooftop,14.5,21.8,1.0,30,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-38,HUB-AMM-38-R02,0
AMM-DU-0008,DU,Amman core,Amman-Zarqa Metro,Amman,31.93358,35.93220,889,Rooftop,13.0,21.8,1.0,30,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-38,HUB-AMM-38-R02,0
AMM-DU-0009,DU,Amman core,Amman-Zarqa Metro,Amman,31.93426,35.93614,907,Rooftop,10.4,13.4,1.0,25,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-38,HUB-AMM-38-R03,0
AMM-DU-0010,DU,Amman core,Amman-Zarqa Metro,Amman,31.93460,35.93968,906,Rooftop,11.2,13.3,1.0,25,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-38,HUB-AMM-38-R03,0
AMM-DU-0011,DU,Amman core,Amman-Zarqa Metro,Amman,31.93358,35.94401,876,Rooftop,13.5,15.5,1.0,25,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-52,HUB-AMM-52-R01,0
AMM-DU-0012,DU,Amman core,Amman-Zarqa Metro,Amman,31.93426,35.94874,839,Rooftop,16.1,19.1,1.0,28,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-52,HUB-AMM-52-R01,0
AMM-DU-0013,DU,Amman core,Amman-Zarqa Metro,Amman,31.93652,35.90266,854,Rooftop,13.8,15.8,1.0,25,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-41,HUB-AMM-41-R02,0
AMM-DU-0014,DU,Amman core,Amman-Zarqa Metro,Amman,31.93652,35.90660,863,Rooftop,15.7,21.8,1.0,30,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-41,HUB-AMM-41-R03,0
AMM-DU-0015,DU,Amman core,Amman-Zarqa Metro,Amman,31.93720,35.91132,861,Rooftop,15.5,21.8,1.0,30,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-41,HUB-AMM-41-R03,0
AMM-DU-0016,DU,Amman core,Amman-Zarqa Metro,Amman,31.93787,35.91447,888,Rooftop,12.6,13.5,1.0,25,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-38,HUB-AMM-38-R06,0
AMM-DU-0017,DU,Amman core,Amman-Zarqa Metro,Amman,31.93652,35.91841,848,Rooftop,13.4,18.8,1.0,27,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-38,HUB-AMM-38-R01,0
AMM-DU-0018,DU,Amman core,Amman-Zarqa Metro,Amman,31.93720,35.92156,864,Rooftop,17.1,20.4,1.0,29,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-38,HUB-AMM-38-R07,0
AMM-DU-0019,DU,Amman core,Amman-Zarqa Metro,Amman,31.93720,35.92708,859,Rooftop,15.3,21.4,1.0,30,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-38,HUB-AMM-38-R06,0
AMM-DU-0020,DU,Amman core,Amman-Zarqa Metro,Amman,31.93686,35.92983,851,Rooftop,16.6,22.3,1.0,31,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-38,HUB-AMM-38-R01,1
AMM-DU-0021,DU,Amman core,Amman-Zarqa Metro,Amman,31.93652,35.93417,891,Rooftop,12.4,19.4,1.0,28,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-38,HUB-AMM-38-R03,0
AMM-DU-0022,DU,Amman core,Amman-Zarqa Metro,Amman,31.93720,35.93810,908,Rooftop,12.7,17.2,1.0,26,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-38,HUB-AMM-38-R03,0
AMM-DU-0023,DU,Amman core,Amman-Zarqa Metro,Amman,31.93720,35.94125,884,Rooftop,13.9,17.2,1.0,26,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-38,HUB-AMM-38-R03,0
AMM-DU-0024,DU,Amman core,Amman-Zarqa Metro,Amman,31.93787,35.94598,863,Rooftop,16.1,19.0,1.0,28,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-52,HUB-AMM-52-R08,0
AMM-DU-0025,DU,Amman core,Amman-Zarqa Metro,Amman,31.93720,35.94913,826,Rooftop,16.3,19.0,1.0,28,3,3-sector | n78 64T64R 3x100 MHz + n1/n3 4T4R + n28 2T4R | n258 street small cells in hotspots,Fiber ring,HUB-AMM-52,HUB-AMM-52-R08,0
